关联ID,版本号,发版项名称,用户ID,设备,原声摘要,原声链接,触达状态,触达话术,触达人,触达时间,备注
2.73.0::试卷「名校专区」标签::feedback-470875230-2026/01/10 13:09:52,2.73.0,试卷「名校专区」标签,470875230,S6,外部上传试卷拍照不清晰，摄像头有待提升。上传后做题竖屏显示字体小，只能横屏，横屏做完题目提交需转换成竖屏，但答案位置跑偏无法正确识别，待提升！,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=470875230,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-208120968-2026/01/11 09:07:00,2.73.0,试卷「名校专区」标签,208120968,S2,教辅专区的教辅书可以自己排位置，不然优先选的教辅在后面几页，每天都要翻页,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=208120968,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-701079668-2026/01/11 11:32:40,2.73.0,试卷「名校专区」标签,701079668,S2,教辅专区的书特别多 其实正常用的就那么几本！每次从这个地方进去看到一堆教辅都不知道做啥好！建议可以选择需要的教辅 添加到首页啥地方  每天一进去就知道要做啥！,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=701079668,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-392430452-2026/01/11 13:42:05,2.73.0,试卷「名校专区」标签,392430452,S6,期末复习，希望增加英语和语文及语文和英语试卷分享功能,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=392430452,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-552014791-2026/01/11 19:08:38,2.73.0,试卷「名校专区」标签,552014791,S1,这试卷字这么小，根本看不清，不能缩放，也不能打印，根本没法使用，使用也伤眼睛,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=552014791,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-552014791-2026/01/11 19:09:10,2.73.0,试卷「名校专区」标签,552014791,S1,这试卷字这么小，根本看不清，不能缩放，也不能打印，根本没法使用，使用也伤眼睛,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=552014791,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-257107324-2026/01/12 11:37:06,2.73.0,试卷「名校专区」标签,257107324,S6,选择的教辅专区书籍无法在首页中显示出来，每次都要进入教辅专区才能选做，不太便捷，希望能在首页中显示出常用的教辅材料。,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=257107324,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-488127424-2026/01/12 21:00:07,2.73.0,试卷「名校专区」标签,488127424,S2,教材不全！试卷不全！功能超级差！连课本都没有！,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=488127424,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-236171086-2026/01/13 20:01:33,2.73.0,试卷「名校专区」标签,236171086,S2,为什么没有山东省日照市东港区的期末试卷？,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=236171086,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-369260854-2026/01/17 20:13:01,2.73.0,试卷「名校专区」标签,369260854,S2,"
 
“你好，想反馈一个功能建议：希望在四年级语文板块，把每个单元的‘日积月累’和课文里的必默古诗，单独做一个‘必默专区’。最好能按单元/教材版本分类，支持一键筛选、批量默写、自动批改，方便孩子集中练习和复习。孩子现在用的是[四年级]、[人教版]，麻烦帮忙评估上线~”
 
",https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=369260854,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-535499411-2026/01/18 09:54:58,2.73.0,试卷「名校专区」标签,535499411,S2,你好，小猿S2，英语教材的教材同步和体系学习材料是错的，还是旧版的，但在教辅专区的学霸笔记又是正确的（正确可参考这个）,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=535499411,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-744324882-2026/01/18 11:25:02,2.73.0,试卷「名校专区」标签,744324882,S6,不能分析语文和英语试卷,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=744324882,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-1105641401-2026/01/18 20:08:48,2.73.0,试卷「名校专区」标签,1105641401,S6,2025-2026学年北师版和2024-2025这两张试卷一样？为啥,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=1105641401,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-1105641401-2026/01/18 20:10:31,2.73.0,试卷「名校专区」标签,1105641401,S6,为什么前面这两张试卷内容一样的？,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=1105641401,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-293110442-2026/01/18 20:10:43,2.73.0,试卷「名校专区」标签,293110442,S6,真题实战模拟两张试卷内容一模一样,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=293110442,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-671310073-2026/01/19 11:10:07,2.73.0,试卷「名校专区」标签,671310073,S2,ai批改试卷服务器不可用,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=671310073,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-532247588-2026/01/19 21:15:23,2.73.0,试卷「名校专区」标签,532247588,S2,因为是广东佛山市南海区的学生，期末考试模拟试卷佛山南海地区的偏少，可以说是小之甚无，语文，英语，科学的试卷偏差太大，希望可以帮搜集该地区的试卷，让孩子可以加以练习，谢谢！,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=532247588,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-305524030-2026/01/20 18:21:01,2.73.0,试卷「名校专区」标签,305524030,S2,学练机给的答案错误，误导孩子学习。做试卷贴贴布局紧凑，不给预留足够答题的空间，靠近屏幕左侧答题，批改后会显示不完整。因为题目在屏幕左侧，答题必须写在正下方，答题后就显示不完整。答题不写在正下方，就会批改错误。需要调整的地方太多了，之前也联系客服反馈过多次，说后续会不断优化，也没优化。答题批改出错率太高，写对的机器给改错。还有学练机给的答案都会是错的？误导孩子！希望赶紧处理一下吧！花那么多钱买的帮不,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=305524030,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-724282899-2026/01/20 20:59:30,2.73.0,试卷「名校专区」标签,724282899,S2,你好，使用下来有点儿建议，可不可以把教辅专区再细分一下。数学可以分为口算，同步，拔高，奥数。语文和英语分为同步，阅读理解，作文。然后教辅的难易程度也排个序，这样的话可以按照孩子的实际情况按需进行练习,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=724282899,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-128163504-2026/01/21 20:21:26,2.73.0,试卷「名校专区」标签,128163504,S6,孩子做化学物理初三试卷，对了，给孩子打错，我看答案是一模一样，而且孩子没有订正，也不提示,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=128163504,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-482086528-2026/01/22 12:50:15,2.73.0,试卷「名校专区」标签,482086528,S6,目前使用下来，对于符合教材的中考练习的各科试卷没有，有的只是本地的历年试卷，这种的话学校都会给孩子做练习，所以正对中考的卷子比较少，希望可以多更新这种类型的教辅资料,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=482086528,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-470875230-2026/01/23 15:50:50,2.73.0,试卷「名校专区」标签,470875230,S6,期末试卷目前学校都不让拍照了，孩子只能记住错题是哪道，试卷上传至云盘，然后把错题标出来，可否增加通过上传云文件功能添加呢？,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=470875230,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-147712088-2026/01/24 09:44:01,2.73.0,试卷「名校专区」标签,147712088,S2,教辅专区答案明明是对的，每次都判错，怎么改都会判错,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=147712088,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-332245242-2026/01/24 09:59:00,2.73.0,试卷「名校专区」标签,332245242,S2,能像试卷宝一样把错题打印出来吗,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=332245242,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-720309749-2026/01/24 17:09:31,2.73.0,试卷「名校专区」标签,720309749,S2,能不能更新一下教材，不要总是这几个，江苏这边的根本不匹配，能不能增加一些江苏这边的亮点给力，亮点默写，亮点大试卷。,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=720309749,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-696181712-2026/01/24 20:14:34,2.73.0,试卷「名校专区」标签,696181712,S2,小猿，能不能增加一个王朝霞的教辅，单元测和期中期末考试卷子的那种，语文、科普版英语的,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=696181712,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-241604226-2026/01/25 08:11:47,2.73.0,试卷「名校专区」标签,241604226,S2,大概三天左右，拍试卷后不能分析。,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=241604226,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-216678290-2026/01/26 15:05:16,2.73.0,试卷「名校专区」标签,216678290,S2,针对上海五四版的牛津英语教辅和数学教辅太少，比如“一卷搞定”、“名校名卷”这类热门教辅一个都没有，仅有“一课一练”是不够的。,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=216678290,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-370713592-2026/01/27 20:56:15,2.73.0,试卷「名校专区」标签,370713592,S6,要不就是很卡，要不就是不给批改，问题很多，一张试卷做完，批改完连口算都能批错了，孩子都急哭了，这么贵的机器，这么不靠谱，今天批科学试卷拍了十几次都无法识别，想要退货了,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=370713592,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-762678606-2026/01/29 20:50:07,2.73.0,试卷「名校专区」标签,762678606,S2,错题本功能可以加入一个生成包含所有错题题型的试卷；把两个照片合并成一个；可以在错题照片上修改；可自行拖拉控制覆盖题目大小,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=762678606,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-272330718-2026/01/30 10:02:15,2.73.0,试卷「名校专区」标签,272330718,S2,教辅专区可以多些数学类的，必刷题,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=272330718,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-174269634-2026/02/02 12:53:22,2.73.0,试卷「名校专区」标签,174269634,S6,教辅资料建议上传江苏版亮点大试卷，学霸提优大试卷，以及拔尖特训,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=174269634,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-632833939-2026/02/02 17:19:35,2.73.0,试卷「名校专区」标签,632833939,S2,孩子现在都用答题卡，试卷上面没有答案，又不能上传答题卡，无法生成学情诊断。,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=632833939,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-740166931-2026/02/05 15:40:26,2.73.0,试卷「名校专区」标签,740166931,S2,没有问题，提个建议:就是学校老师经常要求孩子们自己找试卷昨晚，家长批改让后带回学校，能不能在小猿学习本上做完试卷，批改后，增加一个导出的功能,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=740166931,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-747300807-2026/02/06 09:36:36,2.73.0,试卷「名校专区」标签,747300807,S2,刷英语试卷听力没有声音的吗？更新后就没有声音了，你们测试都不测试就发布了吗？好神奇啊,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=747300807,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-381042860-2026/02/10 19:52:19,2.73.0,试卷「名校专区」标签,381042860,S2,口算练习以及各种试卷真题练习，每一次做完一关机或者退出就没有保存了，比如说有时候要打卡的时候呢，退出了就得再做一遍就没有办法，还有英语，语文都是一样的，希望能有一个存档，就是做完之后能退出之后还能有记录,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=381042860,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-277243344-2026/02/10 23:54:06,2.73.0,试卷「名校专区」标签,277243344,S2,五年级下册数学能不能匹配一些按周检测学习情况的周末试卷,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=277243344,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-524076928-2026/02/13 21:57:50,2.73.0,试卷「名校专区」标签,524076928,S2,缺少科学的相应教材辅导，需要多一些练习作业跟试卷,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=524076928,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-736389533-2026/02/16 13:27:59,2.73.0,试卷「名校专区」标签,736389533,S2,错题没有可以自己设置标签功能,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=736389533,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-1006364975-2026/02/23 13:20:42,2.73.0,试卷「名校专区」标签,1006364975,S2,对于教辅专区的练习，可以通过随便写一下提交批改就能看到答案解析，没有管控功能,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=1006364975,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-457832078-2026/02/23 23:47:06,2.73.0,试卷「名校专区」标签,457832078,S2,教辅专区教材越来越少，有的做了几天就更新没了，,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=457832078,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-742328204-2026/02/25 21:21:53,2.73.0,试卷「名校专区」标签,742328204,S2,目前教材内容，试卷内容，知识点都没有更新，造成无法使用,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=742328204,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-521900862-2026/03/01 14:01:43,2.73.0,试卷「名校专区」标签,521900862,S2,"教辅专区建议可以自定义排序，家长可自定义某几项置顶，方便低年级小朋友快速找到每日要练的内容。
左侧首页、教材同步、专项突破这些项目建议也可自定义排序，方便低年级小朋友快速找到家长布置的任务",https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=521900862,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-1098158832-2026/03/02 19:38:02,2.73.0,试卷「名校专区」标签,1098158832,E1,教辅专区的黄冈小状元学业本里面的因数和倍数写不了,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=1098158832,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-194488434-2026/03/02 23:06:16,2.73.0,试卷「名校专区」标签,194488434,S2,增加试卷打印功能,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=194488434,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-142469322-2026/03/03 15:10:21,2.73.0,试卷「名校专区」标签,142469322,S2,试卷更新慢，只有第一单元，数学学霸笔记打开特别慢，教辅资料可以再增加几个，例如王朝霞，拔尖特训,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=142469322,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-413991460-2026/03/03 21:54:38,2.73.0,试卷「名校专区」标签,413991460,S2,"1 教辅专区学霸笔记的内容挺好的，就是字体太小，不清楚。希望调整一下字体
2 三下的教辅好多都不是新课标，请及时更新",https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=413991460,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-745413839-2026/03/03 21:58:00,2.73.0,试卷「名校专区」标签,745413839,S2,试卷都不会同步到最新，都是几年的试卷课本都最新的，还有什么用，反馈无数次就是不会更新，太垃圾了，别的牌子的都已经更新完毕了。只有你们家都是三年五年前的试卷。,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=745413839,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-1018670078-2026/03/04 22:14:13,2.73.0,试卷「名校专区」标签,1018670078,S2,同步练习、试卷如何打印？,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=1018670078,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-750522989-2026/03/04 22:41:07,2.73.0,试卷「名校专区」标签,750522989,S2,教辅专区里没有苏教版数学练习册教辅资料，去年就没有，什么时候能更新有苏教版数学练习册，53和实验班都可以，最起码有一个吧,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=750522989,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-390047976-2026/03/05 22:02:26,2.73.0,试卷「名校专区」标签,390047976,S2,AI学情诊断中的试卷分析无法分析，显示抱歉，服务器异常，请稍后重试，但是作业诊断可以,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=390047976,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-711356323-2026/03/05 22:11:07,2.73.0,试卷「名校专区」标签,711356323,S2,教辅专区里的英语练习为什么没有人教新起点版呢,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=711356323,未触达,,,,候选（需先在关联表确认）
